company_id,company_size,employee_count,monthly_hiring_volume,industry,region
1,Micro,39,2,Tech,US
2,Micro,29,1,Tech,US
3,Micro,43,2,Tech,US
4,Micro,21,1,Tech,US
5,Micro,19,1,Tech,US
6,Micro,11,1,Tech,US
7,Micro,24,1,Tech,US
8,Micro,36,2,Tech,US
9,Micro,24,1,Tech,US
10,Micro,22,1,Tech,US
11,Micro,2,2,Tech,US
12,Micro,44,2,Tech,US
13,Micro,38,2,Tech,US
14,Micro,21,1,Tech,US
15,Micro,12,2,Tech,US
16,Micro,22,1,Tech,US
17,Micro,44,1,Tech,US
18,Micro,49,1,Tech,US
19,Micro,42,2,Tech,US
20,Micro,28,2,Tech,US
21,Micro,16,1,Tech,US
22,Micro,47,2,Tech,US
23,Micro,44,1,Tech,US
24,Micro,3,1,Tech,US
25,Micro,7,1,Tech,US
26,Micro,9,1,Tech,US
27,Micro,18,2,Tech,US
28,Micro,25,2,Tech,US
29,Micro,14,2,Tech,US
30,Micro,9,2,Tech,US
31,Micro,2,2,Tech,US
32,Micro,28,1,Tech,US
33,Micro,7,2,Tech,US
34,Micro,8,1,Tech,US
35,Micro,35,2,Tech,US
36,Micro,17,2,Tech,US
37,Micro,40,2,Tech,US
38,Micro,2,2,Tech,US
39,Micro,6,2,Tech,US
40,Micro,42,2,Tech,US
41,Micro,29,1,Tech,US
42,Micro,18,2,Tech,US
43,Micro,44,2,Tech,US
44,Micro,10,2,Tech,US
45,Micro,36,2,Tech,US
46,Micro,31,2,Tech,US
47,Micro,15,2,Tech,US
48,Micro,14,1,Tech,US
49,Micro,40,1,Tech,US
50,Micro,16,1,Tech,US
51,Micro,18,1,Tech,US
52,Micro,24,2,Tech,US
53,Micro,25,2,Tech,US
54,Micro,45,1,Tech,US
55,Micro,29,1,Tech,US
56,Micro,45,1,Tech,US
57,Micro,25,1,Tech,US
58,Micro,9,2,Tech,US
59,Micro,1,2,Tech,US
60,Micro,8,2,Tech,US
61,Micro,11,1,Tech,US
62,Micro,17,2,Tech,US
63,Micro,35,1,Tech,US
64,Micro,33,1,Tech,US
65,Micro,5,2,Tech,US
66,Micro,39,2,Tech,US
67,Micro,41,2,Tech,US
68,Micro,7,1,Tech,US
69,Micro,8,2,Tech,US
70,Micro,34,1,Tech,US
71,Micro,48,1,Tech,US
72,Micro,23,2,Tech,US
73,Micro,24,1,Tech,US
74,Micro,35,2,Tech,US
75,Micro,40,2,Tech,US
76,Micro,27,1,Tech,US
77,Micro,1,1,Tech,US
78,Micro,37,1,Tech,US
79,Micro,14,1,Tech,US
